OID;Bezeichnung;Sortierung;Land;Kommentare;Enable;MitBegleitfahrzeug;OptimisticLockField;GCRecord
1;A1;3;Deutschland;;1;;;
2;A(u);2;Deutschland;A unbeschränkt;1;;;
3;B;4;Deutschland;;1;;;
4;C1;7;Deutschland;;1;;;
5;C;6;Deutschland;;1;;;
6;D1;11;Deutschland;;1;;;
7;D;10;Deutschland;;1;;;
8;BE;5;Deutschland;;1;;;
9;C1E;9;Deutschland;;1;;;
10;CE;8;Deutschland;;1;;;
11;D1E;13;Deutschland;;1;;;
12;DE;12;Deutschland;;1;;;
13;M;14;Deutschland;Roller;1;;;
14;L;15;Deutschland;;1;;;
15;T;16;Deutschland;;1;;;
16;A(b);1;Deutschland;A beschränkt;1;;;
17;S;17;Deutschland;Trikes, Quads, Mini-Pkw;1;;;
18;MOF;18;Deutschland;;1;;;
19;ASF;;Deutschland;Aufbauseminar für Fahranfänger;1;;;
20;ASP;;Deutschland;Aufbauseminar für Punkteauffällige;1;;;
21;BKF;;Deutschland;Berufskraftfahrer - LKW & Bus;1;;;
22;GGVSE;;Deutschland;Gefahrgutverordnung Strasse und Eisenbahn;1;;;
23;FSF;;Deutschland;Fortbildungsseminar für Fahranfänger;1;;;
24;A(b);;Schweiz;;;;;
25;A(u);;Schweiz;;;;;
26;A1;;Schweiz;;;;;
27;B;;Schweiz;;;;;
28;BE;;Schweiz;;;;;
29;B1;;Schweiz;;;;;
30;C;;Schweiz;;;;;
31;CE;;Schweiz;;;;;
32;C1;;Schweiz;;;;;
33;D;;Schweiz;;;;;
34;DE;;Schweiz;;;;;
35;D1;;Schweiz;;;;;
36;C1E;;Schweiz;;;;;
37;D1E;;Schweiz;;;;;
38;F;;Schweiz;;;;;
39;G;;Schweiz;;;;;
40;G40;;Schweiz;;;;;
41;M;;Schweiz;;;;;
42;BPT;;Schweiz;;;;;
